Type of Firearm,Category,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
Non-air firearms,Violence against the person,2266,1937,1592,1462,1540,1898,2207,2167,2413,2411,2267
Non-air firearms,Robbery,2925,2533,2172,1951,1690,1528,1663,1658,1765,1398,941
Non-air firearms,Burglary,147,139,97,112,108,110,201,193,192,200,160
Non-air firearms,Criminal damage,374,333,335,330,320,287,478,515,513,514,549
Non-air firearms,"Public fear, alarm or distress",261,203,200,225,317,323,363,335,338,382,293
Non-air firearms,Possession of weapons,852,695,603,625,732,864,1075,1317,1311,1309,1151
Non-air firearms,Other firearm offences,215,182,159,151,204,172,388,349,352,408,348
Air weapons,Violence against the person,556,429,425,400,368,363,412,397,425,401,379
Air weapons,Robbery,50, 34 ,34,26,25,23,28,39,35,25,24
Air weapons,Burglary,8,12,5,2,4,3,10,11,4,18,3
Air weapons,Criminal damage,3197,2669,2091,2109,2193,2162,1896,1891,1993,1765,1576
Air weapons,"Public fear, alarm or distress",53,27,17,21,17,19,25,27,35,28,36
Air weapons,Possession of weapons,166,128,100,94,111,83,107,109,120,115,117
Air weapons,Other firearm offences,265,211,305,221,238,564,725,387,510,432,455
